State,epsilon,true_mean,true_median,true_stdev,dp_mean_laplace,dp_median_laplace,dp_stdev_laplace,dp_mean_gaussian,dp_median_gaussian,dp_stdev_gaussian,abs_err_mean_lap,abs_err_median_lap,abs_err_stdev_lap,abs_err_mean_gauss,abs_err_median_gauss,abs_err_stdev_gauss
Georgia,0.05,60445.872205253516,44089.0,45191.57617593158,60507.72166634628,43460.489533807006,44821.45551725188,60494.487375747136,47823.90450850751,45086.01154692829,61.84946109276643,628.5104661929945,370.12065867969795,48.6151704936201,3734.904508507512,105.56462900328916
Hawaii,0.05,78819.7327523602,70749.0,52318.05591866376,81352.55737999473,72685.86354544241,54273.95793841831,74062.51440157031,51350.303492153704,30323.1095389877,2532.8246276345308,1936.8635454424075,1955.902019754547,4757.218350789888,19398.696507846296,21994.94637967606
Idaho,0.05,56377.80990629183,45317.5,41945.33266398929,56270.74223387489,53086.678022589855,39578.882947482525,77182.9736819489,53855.39643661157,76582.81916619936,107.06767241694615,7769.178022589855,2366.449716506766,20805.16377565707,8537.896436611569,34637.48650221007
Illinois,0.05,69947.43727298127,55841.0,48945.17700474993,71241.72159851134,55939.42224881921,49021.15605536335,73528.52520381015,54424.63617689272,48220.494714200715,1294.2843255300686,98.42224881920993,75.97905061342317,3581.0879308288713,1416.3638231072764,724.6822905492154
Indiana,0.05,58199.19086900868,47864.0,41537.10339923197,56863.47983736895,47027.2368547832,41998.303111763395,57760.26785329692,44291.05075591208,45677.93228432311,1335.7110316397302,836.7631452167989,461.19971253142285,438.9230157117563,3572.9492440879185,4140.828885091141
Iowa,0.05,61412.062403528114,51400.0,43846.59073869901,60200.87358112495,52764.54947241965,43789.14956405908,56359.498173707696,53663.191766505,46529.81021142593,1211.1888224031645,1364.549472419647,57.44117463992734,5052.564229820418,2263.1917665049987,2683.2194727269234
Kansas,0.05,60683.55727391874,48494.0,42323.00917431193,60003.23355733164,45399.928476419256,43049.0995737507,58829.789323139186,51789.383966223824,35998.756792144166,680.3237165871033,3094.071523580744,726.09039943877,1853.7679507795547,3295.3839662238242,6324.2523821677605
Kentucky,0.05,55199.07072335281,40887.0,42072.66512190208,55456.016843930425,40176.68633958947,43264.54072887372,51247.75904702848,41233.14564986885,39605.1450901653,256.94612057761697,710.3136604105312,1191.87560697164,3951.3116763243306,346.14564986884943,2467.520031736778
Louisiana,0.05,56549.06440877056,41661.0,45400.669929522315,57142.78013771855,40502.68751022033,46707.18884573312,55972.84135255492,41269.730622971416,41252.03939000391,593.7157289479946,1158.3124897796733,1306.5189162108072,576.2230562156401,391.26937702858413,4148.630539518403
Maine,0.05,60176.52541296061,47477.0,46066.034942820836,60845.137698323466,59365.64211077224,51706.05486607621,64991.01152315359,48183.63016662129,46581.45030270488,668.6122853628549,11888.642110772242,5640.019923255371,4814.486110192978,706.6301666212894,515.4153598840421
Maryland,0.05,87913.69387058221,79395.0,55087.99453645211,87398.34442447696,78821.5502417934,55461.4820520249,88735.05157447667,82571.35277758689,59387.8883611692,515.3494461052469,573.449758206596,373.4875155727859,821.3577038944641,3176.352777586886,4299.893824717088
Massachusetts,0.05,84740.10655737705,74480.0,57614.56780923994,84806.58372495946,71506.14257576839,58618.90956615729,87343.96053056882,72750.85643155378,54392.27525195667,66.47716758241586,2973.85742423161,1004.3417569173471,2603.85397319177,1729.1435684462194,3222.2925572832683
Michigan,0.05,59765.45665133708,46981.0,43122.64699369784,59576.00151834005,46355.07495688188,43867.40872117542,61228.38164997685,48835.41697315057,44206.27246602811,189.45513299703453,625.9250431181208,744.7617274775839,1462.92499863977,1854.416973150568,1083.62547233027
Minnesota,0.05,71721.56747891284,58436.0,49248.96501093408,71321.01952547465,58459.07640178849,49134.73699522641,72375.62270966492,57894.17297718387,41593.86062145534,400.5479534381884,23.07640178848669,114.22801570766751,654.0552307520848,541.8270228161273,7655.1043894787435
Mississippi,0.05,49090.0056057303,35809.0,40347.291186546245,47936.386312031944,35701.60502801514,37703.07525679474,46912.11932653961,30915.28233677093,43141.26733764479,1153.619293698357,107.3949719848606,2644.2159297515027,2177.886279190694,4893.717663229068,2793.976151098548
Missouri,0.05,57542.84885714286,43964.0,41869.33185714285,57761.31665497063,43917.87814991178,40772.48488378632,58327.452105794495,43468.00951653262,41859.539710909805,218.46779782776866,46.12185008821689,1096.8469733565362,784.6032486516342,495.9904834673798,9.792146233048697
Montana,0.05,58254.98650472335,46468.0,44113.906882591094,51967.68753684723,43490.80238752905,45077.728652494305,51532.81229550188,43116.63342733555,59005.03604119041,6287.298967876115,2977.197612470947,963.8217699032102,6722.17420922147,3351.3665726644467,14891.129158599317
Nebraska,0.05,62938.65395787945,51751.5,43866.86129266521,62074.37258757539,51681.77247335257,45850.442718950646,74447.46008839899,50032.32773431172,37270.79542998188,864.2813703040592,69.72752664743166,1983.5814262854328,11508.806130519544,1719.1722656882775,6596.065862683332
Nevada,0.05,64949.36737000754,54657.0,44575.22569706104,64104.78396936251,47463.441082845726,43854.24396094842,65888.39165473076,41630.884932117915,47801.216203302814,844.5834006450314,7193.558917154274,720.9817361126188,939.0242847232221,13026.115067882085,3225.9905062417747
New Hampshire,0.05,78389.863878327,68590.0,53216.276045627375,79372.80382382889,68421.94049473398,52704.22549156151,93529.21347070429,56578.64444855851,46922.55015143901,982.9399455018865,168.059505266021,512.0505540658633,15139.349592377286,12011.355551441491,6293.725894188363
