loss
5422700177.648186
5421496662.096916
5420216068.011279
5419023956.776355
5417812346.369426
5416567815.349387
5415382325.793638
5414254997.929096
5412953222.472626
5411681936.633362
5410512721.00685
5409365524.668936
5408080497.111662
5406932286.496546
5405716358.313017
5404458100.273052
5403227456.060451
5401980730.6970825
5400856467.283605
5399657602.493229
5398383748.907717
5397159745.221068
5395945147.258234
5394780076.85906
5393547631.953031
5392308639.70217
5391098669.399161
5389861804.37783
5388655060.219196
5387546752.371992
